stem,group
gray,EmotionNegative
tire,EmotionNegative
poison,EmotionNegative
hurt,EmotionNegative
battle,EmotionNegative
mean,EmotionNegative
weak,EmotionNegative
tough,EmotionNegative
ugly,EmotionNegative
negat,EmotionNegative
dead,EmotionNegative
satisfact,EmotionPositive
relax,EmotionPositive
safe,EmotionPositive
harmoni,EmotionPositive
delight,EmotionPositive
prize,MoneyHave
toll,MoneyHave
golden,MoneyHave
bank,MoneyHave
coin,MoneyHave
credit,MoneyHave
success,MoneyHave
gift,MoneyHave
imposs,OutlookNegative
prison,OutlookNegative
daydream,OutlookPositive
liberti,OutlookPositive
dream,OutlookPositive
dreamer,OutlookPositive
free,OutlookPositive
fantasi,OutlookPositive
create,OutlookPositive
trust,OutlookPositive
make,OutlookPositive
confid,OutlookPositive
parti,play
rocki,play
saturday,play
dancin,play
workin,work
monday,work
